CODE COULEUR : ,Surligné en vert : questions à Nathalie,"Surligné en bleu: modifications apportées, à valider ensemble",Surligné en jaune : pour Léa,Surligné en rose : pour Louise,Souligné : apports et corrections validés (Ctrl + u),,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
uuid,mots-clefs,,,,,,,
71a1df32-a61e-4701-aacd-614b21bae592,Arts,Arts du décor NB Remplace « biographie d’un musicien ».,objets et accessoires du théâtre,,,,,
9a1deec7-d581-4ef8-b565-8597b41136a6,Arts,Arts du décor NB Remplace « biographie d’un musicien ».,objets et accessoires du théâtre,marionnette,,,,
b5603408-fd85-46f5-b2c9-10c12ee10bd4,Arts,Arts du décor NB Remplace « biographie d’un musicien ».,objets et accessoires du théâtre,marionnette,bamboche,,,
9550f07b-8936-4650-a99b-e54a2ad31e55,Arts,Arts du décor NB Remplace « biographie d’un musicien ».,costume,,,,,
eec681b8-a418-463c-aa58-e6dfe1998d32,Arts,Arts du décor NB Remplace « biographie d’un musicien ».,costume,costume de bal,,,,
2ef368ba-c15e-4d00-a865-5e79e98e4a4e,Arts,Arts du décor NB Remplace « biographie d’un musicien ».,costume,costume de carnaval,,,,
afca317a-43f1-4c48-9d16-f9c9dd3ba33a,Arts,Arts du décor NB Remplace « biographie d’un musicien ».,costume,costume de cérémonie,,,,
c97b0509-613d-43a0-9308-50fb9820543f,Arts,Arts du décor NB Remplace « biographie d’un musicien ».,costume,costume de mascarade,,,,
2c63f808-2a96-49ae-aaaf-412aae1c7730,Arts,Arts du décor NB Remplace « biographie d’un musicien ».,costume,costume de théâtre,,,,
bbe8e631-8710-4e9d-bdac-d5460c6654ce,Arts,Arts du décor NB Remplace « biographie d’un musicien ».,costume,"travestissement [si du costume ; vérifier occurrences ; sinon, reclasser]",,,,
686ea16f-73c9-4ab8-a7a9-8d71dc20ce97,Arts,Arts du décor NB Remplace « biographie d’un musicien ».,décor de spectacle,,,,,
897e7300-c859-4cc8-9399-10fa136c9825,Arts,Arts du décor NB Remplace « biographie d’un musicien ».,décor de spectacle,décor de théâtre,,,,
062f62da-f1f5-408e-8a02-289ee5a75b9b,Arts,Arts du décor NB Remplace « biographie d’un musicien ».,décor de spectacle,iconographie des spectacles,,,,
fc6e5c13-c834-46ec-8339-4387d8c2dc8d,Arts,Arts du décor NB Remplace « biographie d’un musicien ».,iconographie musicale,,,,,
57559729-a864-493c-9f49-fa8c79a1b88f,Arts,Arts du décor NB Remplace « biographie d’un musicien ».,décor éphémère,,,,,
4aeaf791-0960-4d49-933e-b6a34a904c20,Arts,Arts du décor NB Remplace « biographie d’un musicien ».,décor éphémère,reposoir,,,,
cad6037b-0706-4fd0-a187-b211ee4f4493,Arts,Arts du décor NB Remplace « biographie d’un musicien ».,décor éphémère,apparat,,,,
b9e2f781-a6f6-45bd-8458-05793f7ecf7c,Arts,Arts du décor NB Remplace « biographie d’un musicien ».,décor éphémère,machine,,,,
