id;cat;pages;Incipit principal ou premier;incipit français;article et notes sur les sources;auteur de la musique IDENTIFIANT Nathalie : remplacer directement par l'id de Directus OK;auteur de la musique LABEL;lieux concernés Nathalie : vérifier la correspondance avec le thésaurus;TITRES propres. Anne: OK orthographe normalisée;´MOTS-CLEFS. Anne: OK;genre poétique;genre mus. Anne: OK;auteur texte IDENTIFIANT Nathalie : normalisation avec Directus OK;auteur texte LABEL ;Notes éditoriales. (à ne pas exporter dans la TEI). Revues  ANNE  : OK NATH: EST-CE QUE TOUTES LES NOTES FIGURENT ICI OU CERTAINES DIRECTEMENT DANS LA TEI ?;Articles liés ajouter les commentaires qui manquent (là où figurent des id);notes sur la musique (tonalité, chiffre de mesure, nbre de mesures, forme). Anne: OK;Tonalité. Anne: OK;forme musicale. Anne: OK;Formes poétiques (fixes) ou description formelle;code incipit musical. Anne: OK;Interprète [de la pièce musicale] Nath : vérifier concordance avec Opentheso;effectif musical;Notes effectifs musicaux;personnes mentionnées (Nath : vérifier concordance et indexation avec Personnes;Numéros de catalogue d'auteur ou Concordances poétiques. Anne: OK;Numéros de catalogue d'auteur ou concordances musicales. Anne: OK;autres sources Vérification par Anne et Nathalie;Institutions mentionnées ;Corporations mentionnées ;Œuvres citées
1707-08_149;1707.08.01;149-150;CESSEZ DE ME PARLER DU PRINTEMPS ET DE FLORE;Cessez de me parler du printemps et de Flore;air gravé inséré entre les pages 148 et 149 « Les paroles de l'Air qui suit sont de Mlle d'Alerac de la Charsse, de la Maison de la Tour du Pin en Dauphiné. Je vous ay déja envoyé plusieurs de ses Ouvrages, dont le public a esté tres-satisfait. AIR NOUVEAU. Cessez de me parler du Printemps & de Flore, Je détourne mes yeux de leurs touchans appas : Absente du Berger que j'aime & qui m'adore. C'est assez d'éviter les horreurs du trépas, Sans songer aux plaisirs encore. Les Vers que vous venez de lire ont esté notez par Mr Chastan de la ville d'Apt. Vous jugerez vous-même de la beauté de cet Air. »;b10e660e-8bb5-44eb-b238-661eb26babd2;Chastan, M. (fl. 1707);"DAUPHINÉ ; APT";AIR NOUVEAU;printemps;poésie de saison;"air ;";ecdf2c32-08e8-4dac-a5d0-6ddba2a71b8a;La Charce, Philis d'Alérac de (1645-1703);;;Sol Majeur, 3, 29 mesures, forme rondeau.;"Sol Majeur ;";rondeau;;34 445 323 171;;sol2/bc;;;;;;;;
1698-02_228;1698.02.01;228;SOUPIRS QU'ON NE VEUT PLUS ENTENDRE;Soupirs qu'on ne veut plus entendre;air gravé inséré entre les pages 228 et 229 « Mademoisele Dalerac la Charse, dont le merite est si connu en France, a composé les paroles de l'Air qui suit. La Musique est d'une Personne qui fait du bruit dans le monde. Soupirs, qu'on ne veut plus entendre, Chers, & tristes enfans de ma sincere ardeur, Cachez vous au fond de mon coeur, Dussiez vous le reduire en cendre. Soupirs qu'on ne veut plus entendre, Cachez-vous au fond de mon coeur. »;4aded38f-fdf8-46bd-8520-c0c9894424a5;non identifié;;[sans titre];;;air;ecdf2c32-08e8-4dac-a5d0-6ddba2a71b8a;La Charce, Philis d'Alérac de (1645-1703);;;sol mineur, 2, 21 mesures, forme continue.;"sol mineur ;";continue;rondeau ;1 3 33335 11 15;;sol2/bc;;;;;;;;
1707-08_197;1707.09.01;237-238;JE VIVRAI SOUS TES LOIS ADORABLE BACCHUS;Je vivrai sous tes lois adorable Bacchus;air gravé inséré entre les pages 236 et 237 « Je vous envoyai le mois passé un Air, dont les paroles ont esté faites par Mademoiselle de la Charse, de la Maison de la Tour du Pin. Celles que vous allez lire sont encore de cette spirituelle personne, dont l'esprit n'est pas moins connu que la naissance. AIR NOUVEAU. Je vivray sous tes loix, adorable Bacchus, Si tu veux effacer Tircis de ma memoire : Mais il faut que ce soit sans boire, Un Dieu, dis-je, le veux, il ne faut rien de plus, Estre Bacchante in partibus, Peut afranchir mon coeur, & conserver ma gloire. »;4aded38f-fdf8-46bd-8520-c0c9894424a5;non identifié;;AIR NOUVEAU;;;air à boire;ecdf2c32-08e8-4dac-a5d0-6ddba2a71b8a;La Charce, Philis d'Alérac de (1645-1703);;;sol mineur, 2, 26 mesures, forme binaire.;"sol mineur ;";binaire;;31 552 345 665 5;;sol2/bc;;;;;;;;
1698-03_182;1698.03.02;182-184;Terrible Mars fière Bellone;Terrible Mars fière Bellone;air gravé inséré entre les pages 182 et 183 « Les Vers de l'Air nouveau que vous trouverez icy gravé, sont de Mademoiselle d'Alerac de la Charce, de la Tour du Pin, & ils ont esté notez par Mr l'Abbé de Poissy, qui devient fort à la mode non seulement pour la Musique, qu'il ne fait que dans le dessein de se divertir, mais encore pour tous ses Ouvrages d'esprit, qui sont extremement estimez dans le beau monde. AIR NOUVEAU. Terrible Mars, fiere Bellone, Vous laissez conclure la Paix, Qu'est-ce qui vous étonne ? Pourquoy tout l'Univers ne sent-il pas vos traits ? Vous avez fait perir mon agreable Alcandre, Pour moy la Paix n'est plus un bien. Pour tous les pleurs que l'on me voit repandre Voicy de vous ce que j'oze pretendre, C'est de voir tous les coeurs souffrir comme le mien. »;380977c9-c179-4622-af90-5536928619da;POISSY, abbé de;;AIR NOUVEAU;;poésie de circonstance;air;ecdf2c32-08e8-4dac-a5d0-6ddba2a71b8a;La Charce, Philis d'Alérac de (1645-1703);L'air du mois précédent était composé sur des vers de Philis d'Alérac de la Charce (cf. 1698-02_228).;X;ré mineur, 3, 35 mesures, forme binaire.;"ré mineur ;";binaire;;111 1 332 1156;;ut1/bc;;;;;;;;
1708-12_267;1708.12.01;267-268;QUE L'AMOUR CAUSE DE FAIBLESSE;Que l'amour cause de faiblesse;"air gravé inséré entre les pages 266 et 267 « Les paroles de l'air que je vous envoye sont traduites d'une chanson Espagnole, inserée dans le Livre intitulé, le Diable boiteux, par Mr de la Fevrerie. AIR NOUVEAU. Que l'Amour cause de foiblesse, Je brusle & je pleure sans cesse, Depuis que je suis amoureux ; Mais étrange effet de ses charmes ! Mes larmes pour me rendre encore (1) plus malheureux, Ne sçauroient éteindre mes feux, Ni mes feux consumer mes larmes. » (1) « encore » ne figure pas dans la source musicale.";4aded38f-fdf8-46bd-8520-c0c9894424a5;non identifié;;AIR NOUVEAU;"traduction ; chanson espagnole";madrigal;air;a58ed6f2-7d86-4ef5-a277-0ee0e76aef68;La Fevrerie, M. de (fl. 1695-1709);;;sol mineur, 3, 22 mesures, forme binaire.;"sol mineur ;";binaire;;12 34 523 223 432 5;;ut1/bc;;;;;;;;LA FEVRERIE, Le Diable boîteux
1689-10_297;1689.10.02;297-299;BRILLANTES FLEURS NAISSEZ;Brillantes fleurs naissez Climène sur ces bords Et vous charmantes fleurs;air gravé inséré entre les pages 298 et 299 « Quoy que la Chanson que je vous envoye ne soit pas nouvelle, elle a presentement un si grand cours à Paris, qu'elle ne peut estre que favorablement receuë en Province. Les paroles sont de l'illustre Mr de la Fontaine, & l'air est du fameux Mr Charpentier, qui a une si grande connoissance de toutes les beautez de la Musique. AIR NOUVEAU. Brillantes fleurs, naissez, Herbe tendre, croissez Le long de ces Rivages. Venez, petits Oiseaux, Accorder vos ramages Au doux bruit de ces eaux. (1) Climene sur ces bords Vient chercher les tresors De la Saison nouvelle. Messagers du matin, Quand vous verrez la Belle Chantez sur son chemin. Et vous, charmantes fleurs, Douces filles des pleurs De la charmante Aurore, Meritez que la main De celle que j'adore Vous moissonne en chemin. » (1) « des ruisseaux » dans la source musicale.;8e0f9eca-ff96-4017-b548-f16ea511ac79;Charpentier, Marc-Antoine (1643-1704);PARIS;AIR NOUVEAU;;;air;ca7a5321-3f19-4e45-87f1-6a21548abea8;La Fontaine, Jean de (1621-1695);;;Fa Majeur, ¢, 13 mesures, forme binaire.;Fa Majeur;binaire;;5 171 233 456 543;;ut1;;;Catalogue des œuvres de Marc-Antoine Charpentier : H. 449;Catalogue des œuvres de Marc-Antoine Charpentier : H. 449;;;;
1678-10_224;1678.10.07;224-225;SI POUR AVOIR VU SEULEMENT;Si pour avoir vu seulement;"air imprimé inséré entre les pages 224 et 225 « L´Air nouveau que vous allez voir, est de la composition d´un excellent Musicien de la Cathedrale de Montpellier. Les Paroles sont de Mr Laussel, Avocat en la Cour des Aydes de la mesme Ville. Son mérite & son génie aisé & naturel pour la Poësie, sont connus de tout ce qu´il y a de Gens d´esprit dans la Province. Il a donné des marques du sien par plusieurs Ouvrages, dont il a fait part au Public. AIR NOUVEAU. Si pour avoir veu seulement Le Portrait d'un Objet aimable ; Mon coeur soûpire à tout moment Du cruel tourment qui l'accable ; Iugez, Iris, par tant de mal, Si je dois estre miserable, Quand j'auray veu (1) l'Original. » (1) « je verray » dans la source musicale.";4aded38f-fdf8-46bd-8520-c0c9894424a5;non identifié;"MONTPELLIER, Cathédrale Saint-Pierre ; MONTPELLIER, Cour des Aides";AIR NOUVEAU;;madrigal;air;2819bfdc-ab1f-4e12-937b-a0da85a9273f;LAUSSEL, Mr;;;Ré Majeur, C puis 3, 17 mesures, forme binaire;Ré Majeur;binaire;;512 765665 5;;sol2;;;;;;;;
1702-02_160;1702.02.01;160-161;UN BERGER SOUPIRAIT AUPRÈS D'UNE FONTAINE;Un berger soupirait auprès d'une fontaine;air gravé inséré entre les pages 160 et 161 « Je croy que vous serez contente de l'Air nouveau que je vous envoye. Il est de la composition de Mr le Camus le fils, aussi bien que les paroles. AIR NOUVEAU. Un Berger soupiroit auprés d'une Fontaine, Quand Philis en passant luy demanda sa peine. Quoy, dit-il (1), ne sçavez-vous pas Que j'expire pour vos appas ? » (1) « Philis » dans la source musicale.;32851683-2f4e-48c6-a11c-a939fdc2f18c;LE CAMUS, Charles [?-?];;AIR NOUVEAU;;;air;32851683-2f4e-48c6-a11c-a939fdc2f18c;Le Camus, Charles (16?-1717);;;la mineur, ¢, 13 mesures, forme binaire.;la mineur;binaire;;3 155 171 234 323;;ut1/bc;;;;;;;;
1704-02_372;1704.02.02;372-373;J'AI BEAU PAR MES REGARDS ET MES FRÉQUENTS SOUPIRS;J'ai beau par mes regards et mes fréquents soupirs;air gravé inséré entre les pages 372 et 373 « Je vous envoye une Chanson nouvelle, l'air & les paroles sont de Mr le Camus le fils. AIR NOUVEAU. J'ay beau mes regards, & mes frequens soupirs, Découvrir à Philis l'excés de ma tendresse. Elle me rebute sans cesse, Et m'accable de déplaisirs. Pour prix de mon ardeur fidelle Aymable Dieu d'Amour, toy le maître des coeurs, Perce d'un trait doré celuy de cette Belle, Je fais qu'aprés tes maux je goute tes douceurs. »;32851683-2f4e-48c6-a11c-a939fdc2f18c;LE CAMUS, Charles [?-?];;AIR NOUVEAU;;;air;32851683-2f4e-48c6-a11c-a939fdc2f18c;Le Camus, Charles (16?-1717);;;ré mineur, ¢ et 3/2 en alternance, 35 mesures, forme binaire.;"ré mineur ;";binaire;;3 7712 56 675;;ut1/bc;;;;;;;;
1698-08_127;1698.08.01;127-128;UN SÉVÈRE DEVOIR A BANNI DE CES LIEUX;Un sévère devoir a banni de ces lieux;air gravé inséré entre les pages 126 et 127 « La Chanson que je vous envoye est fort approuvée des Connoisseurs. Les paroles sont de Mr le Comte, Conseiller au Parlement de Toulouse, & l'Air est de Mr Aphrodise, Maistre de Musique du Chapitre de Saint Sernin, de la mesme Ville. AIR NOUVEAU. Un severe devoir a banni de ces lieux Le beau Berger que j'aime. Tirsis n'oseroit plus se montrer à mes yeux, Rien n'est égal à ma douleur extrême. Un severe devoir a banni de ces lieux Le beau Berger que j'aime. »;eabaaa79-157d-4d9c-b02b-eb6ab08ca83e;Aphrodise, Thibault (1659 ca-1719);TOULOUSE;;;élégie;"air ;";c6174b29-7226-40da-a705-00f95f602e27;Le Comte, M.;;;Ré Majeur, 2 et 3/2 en alternance, 25 mesures, forme rondeau.;Ré Majeur;rondeau;rondeau ;15 1711 256 4;;ut1/bc;;;;;;;;
1678-08_061;1678.08.03;61-62;MA RAISON VEUT QUE JE ME VENGE;Ma raison veut que je me venge;"air imprimé inséré entre les pages 62 et 63 « [L'évocation de cette fête, cf. Mercure 1678.08.02] me fait souvenir de l´engagement où je me suis mis avec vous de vous envoyer tous les mois des Airs nouveaux. En voicy un de la composition de Mr Goüet Maistre de Musique des Dames Religieuses de Lonchamp. On m´a dit que les Paroles estoient de Mr de Lignieres. AIR NOUVEAU. Ma raison veut que je me vange. La jeune Caliste me change, Ie sçay qu'un autre Amant luy plaist ; Mais cette Bergere est si belle, Que toute infidelle qu'elle est, On me verra mourir pour elle. »";c13ff9d8-3bbe-4d22-8ee1-1b725c0e85e2;Goüet, M. (fl. 1678);LONGCHAMP, Abbaye royale;AIR NOUVEAU;;madrigal ;air;d9395eef-c5bb-40f8-b79e-1edfa857347a;Lignières, François (162.?-1704), de;;;sol mineur, C, 20 mesures, forme binaire;"sol mineur ;";binaire;;1 134 565 631;;sol2/bc;;;;;;;;
1683-05_175y;1683.05.03;175-177, 204-205;C'EST UNE DOUCEUR SANS SECONDE;C'est une douceur sans seconde;"air gravé inséré entre les pages 204 et 205 « En vous envoyant il y a un mois le Prologue de l´Amour Berger, Opéra en Pastorale qu´une Troupe d´illustres & jeunes Acteurs a représenté ce Carnaval à l´Hôtel de Duras, je vous en promis quelques Airs notez. Ainsi il est juste que je vous tienne parole. En voicy un dans lequel vous reconnoistrez sans peine le génie de Mr de la Lande, si estimé de toux ceux qui ont quelque goust pour la Musique. Les Paroles de ces Airs estoient chantées par une Bergere. [...] Voicy encore un Couplet que je vous envoye noté. La Bergere Aminte le chantoit, apres qu´elle avoit veu Daphnis vaincu par Lisandre. AIR. C'est une douceur sans seconde, Quand on aime tendrement, De s'éloigner de tout le monde, Pour s'approcher de son Amant. On ne rompra jamais l'heureuse intelligence De deux jeunes coeurs bien unis ; L'Amour accable qui l'offense, Et les rivaux fâcheux ne sont que trop punis. »";f23e34ee-a19b-477a-9635-292ce8d71f01;Lalande, Michel-Richard de (1657-1726);PARIS, chez Mr de Duras;AIR NOUVEAU;"actualité musicale ; petit opéra";;air;7ce664b3-9671-40df-a1aa-6cdb2c4c7c4d;LOMAGNE, Gaston-Jean-Baptiste de Lévis-Mirepoix [1636-1699] ;;;Ut Majeur, 3, 27 mesures, forme binaire;"Ut Majeur ;";binaire;;1123234321;;ut1/bc;;;;;;;;LALANDE, M.-R., L'Amour berger
1683-05_175x;1683.05.02;175-177;BERGERS QUI MURMUREZ DE CES RIGUEURS EXTRÊMES;Bergers qui murmurez de ces rigueurs extrêmes;"air gravé inséré entre les pages 176 et 177 « En vous envoyant il y a un mois le Prologue de l´Amour Berger, Opéra en Pastorale qu´une Troupe d´illustres & jeunes Acteurs a représenté ce Carnaval à l´Hôtel de Duras, je vous en promis quelques Airs notez. Ainsi il est juste que je vous tienne parole. En voicy un dans lequel vous reconnoistrez sans peine le génie de Mr de la Lande, si estimé de toux ceux qui ont quelque goust pour la Musique. Les Paroles de ces Airs estoient chantées par une Bergere. AIR. Bergers, qui murmurez de ces rigueurs extrémes Que nous avons souvent pour vous, Ne vous plaignez jamais de nous, Mais plaignez-nous plustot nous-mesmes. Nos plus tendres sentimens. Trouvent toujours contre eux des raisons trop puissantes ; Nous ne serions qui trop contentes, Si nous pouvions toûjours contenter nos Amans. »";f23e34ee-a19b-477a-9635-292ce8d71f01;Lalande, Michel-Richard de (1657-1726);PARIS, chez Mr de Duras;AIR;"actualité musicale ; pastorale dramatique ;";idylle;air;7ce664b3-9671-40df-a1aa-6cdb2c4c7c4d;LOMAGNE, Gaston-Jean-Baptiste de Lévis-Mirepoix [1636-1699], marquis de;;;Sol Majeur, C, 19 mesures, forme binaire;"Sol Majeur ;";binaire;;122323 444325 3;;ut1/bc;;;;;;;;LALANDE, M.-R., L'Amour berger
1691-05_064;1691.05.01;64-65;AH QUE MON SORT EST RIGOUREUX;Ah que mon sort est rigoureux;air gravé inséré entre les pages 64 et 65 « Les paroles de l'Air nouveau que je vous envoye sont de Mr de Messange, & ont esté mises en chant par Mr du Bousset, dont la réputation augmente de jour en jour. AIR NOUVEAU. Ah, que mon sort est rigoureux ! Mon Iris s'oppose à mes voeux Quand j'esperois trouver la fin de ma souffrance. Amour, espoir, refus, rigueur, Quelle cruelle intelligence, Vous joint tous (1) à la fois contre un sensible coeur ! » (1) « tout » dans la source musicale.;1fca10b1-5fc7-4a10-81d0-65f61a1a035b;Bousset, Jean-Baptiste Drouard de (1662-1725);;AIR NOUVEAU;;;air;139cb7c7-a8c6-4dba-aef3-3248dd5faddc;Mallemans de Messanges, Claude (1653-1723);;;ré mineur, 3/2, 26 mesures, forme binaire.;"ré mineur ;";binaire;;51 564 323 234;;ut1;;;;;;;;
1683-11_186;1683.11.02;187;VOUS VOULEZ QUE JE VIVE AFIN QUE JE VOUS AIME;Vous voulez que je vive afin que je vous aime;air gravé inséré entre les pages 186 et 187 « Les paroles de l'Air nouveau sont de M. Messange. Le fameux d'Ambruis les a notées. Vous voulez que je vive, afin que je vous aime, Et vous ne voulez pas de la moindre faveur Payer les feux de mon amour extréme. Quel barbare plaisir vous donne ma douleur ? Ah, finissez mes maux, inhumaine Sylvie, Ou laissez-moy finir mon amour & ma vie. »;565ce1d7-f2a4-4a1d-abef-19c4e6903453;Ambruis, Honoré d' (1660-1702);;AIR NOUVEAU;;;air;139cb7c7-a8c6-4dba-aef3-3248dd5faddc;Mallemans de Messanges, Claude (1653-1723);;;Sib Majeur, ¢, 25 mesures, forme binaire;"Sib Majeur ;";binaire;;11 716 756 354 325;;ut1;;;;;;;;
1681-07a_073;1681.07.01;73-74;TIRCIS ATTENDANT SA BERGÈRE;Tircis attendant sa bergère;"air gravé inséré entre les pages 74 et 75 « Tant de jolis Madrigaux employez par tout dans cette Description, n´empescheront point sans doute que vous n´en voyiez encor un avec plaisir. Je vous l´envoye mis en Air par Mr Deleval. La beauté de cet Air, quoy que fait inpromptu, vous doit convaincre de celle des Pieces auxquelles il donne la derniere main. Les Paroles sont de Mr Mallement de Messange. AIR NOUVEAU. Tircis attendant sa Bergere, Disoit sur la Fougere Aupres de ses Moutons paissans, Viens donc sur la verdure ; Ah que le temps me dure ! Ah que les maux que j'endure sont grands ! Ah qu'ils sont grands les tourmens que je sens ! »";ec0dcf75-c492-4570-abc2-c25a7f762572;Deleval, M. (fl. 1681-1682);;AIR NOUVEAU;;"idylle ; églogue ; élégie";air;139cb7c7-a8c6-4dba-aef3-3248dd5faddc;Mallemans de Messanges, Claude (1653-1723);;;Fa Majeur, 3, 27 mesures, forme binaire;Fa Majeur;binaire;;334 56 43 21;;ut1,fa4;;;;;;;;
1682-07_231;1682.07.03;231-232;J'AVAIS RÉSOLU DE CHANGER;J'avais résolu de changer;"air gravé inséré entre les pages 230-231 « Les Paroles de la seconde Chanson que je vous envoye, sont de Mr de Messange. Elles ont esté mises en Air par Mr Deleval. AIR NOUVEAU. J'avois résolu de changer, Et de n'aimer dans ces Boccages Que la verdure & les ombrages, Au lieu d'un volage Berger ; Mais le voyant sous la feüille nouvelle, Je sentis l'autre jour le foible de mon coeur, Et j'aime encor cet infidelle, Malgré tous mes sermens, & malgré sa rigueur. »";ec0dcf75-c492-4570-abc2-c25a7f762572;Deleval, M. (fl. 1681-1682);;AIR NOUVEAU;;idylle;air;139cb7c7-a8c6-4dba-aef3-3248dd5faddc;Mallemans de Messanges, Claude (1653-1723);;;Fa Majeur, 3, 36 mesures, forme binaire;Fa Majeur;binaire;;5 545 112 3;;ut1/bc;;;LADDA 1683-27;LADDA 1683-27;;;;
1679-05_235;1679.05.09;235-236;À LA FIN CES DÉSERTS ONT REPRIS LEUR VERDURE;À la fin ces déserts on repris leur verdure;air gravé inséré entre les pages 234 et 235 « La matiere est triste. Je la quite pour vous faire part d´une seconde Chanson sur le retour du Printemps. Les Paroles sont de Mr l´Abbé Mallement de Messange. A la fin ces Deserts ont repris leur verdure, Et dans nos Bois mille charmans Ruisseaux Accordent au chant des Oyseaux Leur agréable murmure. Seul accablé d'un ennuy rigoureux Causé par le mépris d'une Amante parjure, Pendant que tout rit en ces lieux, J'entretiens ces Forests du tourment que j'endure. »;4aded38f-fdf8-46bd-8520-c0c9894424a5;non identifié;;AIR NOUVEAU;printemps;"élégie ; églogue ; poésie de saison";air;139cb7c7-a8c6-4dba-aef3-3248dd5faddc;Mallemans de Messanges, Claude (1653-1723);;;Sol Majeur, C puis 3 et 2 en alternance, 30 mesures, forme binaire;"Sol Majeur ;";binaire;;31 543 221 711 712;;ut1/bc;;;;;;;;
1679-12_336;1679.12.05;336-337;CONSOLEZ-VOUS MES CHERS TROUPEAUX;Consolez-vous mes chers troupeaux;"air gravé inséré entre les pages 338-339 « Cet Article de Musique me fait souvenir d´un second Air à vous envoyer. Les Paroles sont de Mr l´Abbé Mallemant. AIR NOUVEAU. Consolez-vous, mes chers Troupeaux, De tous les maux Que la froide saison nous (1) donne. Vous aurez tout l'Eté ! l'Automne, & le Printemps, Pour joüir d'un plus heureux temps ; Mais il n'est point d'Eté, de Printemps, ny d'Automne, Pour le pauvre (2) Tircis, Dans le coeur de l'ingrate Iris. » (1) « vous » dans la source musicale. (2) La source musicale ajoute ici « Berger ».";4aded38f-fdf8-46bd-8520-c0c9894424a5;non identifié;;AIR NOUVEAU;hiver;poésie de saison;air;139cb7c7-a8c6-4dba-aef3-3248dd5faddc;Mallemans de Messanges, Claude (1653-1723);;;Ut Majeur, 3, 29 mesures, forme binaire;"Ut Majeur ;";binaire;;123 21 53 2;;sol2,fa3/bc;;;;;;;;
1680-02_056;1680.02.02;56-57;AH QUE J'AIME L'HORREUR DE CES TRISTES FORÊTS;Ah que j'aime l'horreur de ces tristes forêts;air gravé inséré entre les pages 56 et 57 « Apres vous avoir menée en Voyage, il est bon, Madame, de vous délasser par quelque chose de touchant pour vous. L´avantage que vous avez de bien chanter, vous fait aimer les beaux Airs. En voicy un noté qui ne vous déplaira pas. AIR NOUVEAU. Ah, que j'aime l'horreur de ces tristes Forests, D'où l'Hyver a banny la riante verdure ! Je ne gémis plus seul dans leurs Antres secrets, Tout gémit avec moy dans une nuit obscure. Mais hélas ! à quoy sert que toute la Nature S'intéresse dans mes regrets, Si l'Ingrate qui fait ma peine N'en est pas moins inhumaine ? Les Paroles de cet Air sont de Mr l´Abbé Mallement de Messange, dont vous avez déjà veu beaucoup de Vers. »;4aded38f-fdf8-46bd-8520-c0c9894424a5;non identifié;;AIR NOUVEAU;"sociabilité musicale ; hiver";"poésie de saison ; élégie";air;139cb7c7-a8c6-4dba-aef3-3248dd5faddc;Mallemans de Messanges, Claude (1653-1723);;;Ré Majeur, C puis 3 puis 2 en alternance, 25 mesures, forme binaire;Ré Majeur;binaire;;11331 5555112 7;;ut1/bc;;;;;;;;
1699-12_133;1699.12.01;133-134;Monde trompeur espérance mortelle;Monde trompeur espérance mortelle;air gravé inséré entre les pages 134 et 135 « Je vous envoye des paroles faites par Mr Mallement de Saffey, à la priere d'une jeune Demoiselle de qualité, qui vouloit faire profession de la Vie Reguliere, & comme sa voix égale son esprit & sa beauté, elle jugea à propos de les chanter à ses Parents pour leur dire adieu. C'est Mr du Val qui en a fait l'Air. AIR NOUVEAU. Monde trompeur, esperance mortelle, Que c'est en vain que vous tentez mon coeur ! Vous n'en serez jamais vainqueu[r] (1), Je ne cherche que la gloire éternelle. » (1) coquille dans la source littéraire : « vainqueut ».;0eb4c053-3406-492e-8c2c-8deeed1fcf5c;Du Val, M. (fl. 1699);;;"sociabilité musicale ;";;air spirituel;9509c089-bb04-4515-9bd0-58a6398b17b1;MALLEMENT DE SAFFEY, Mr;;;Fa Majeur, 2, 20 mesures, forme binaire.;Fa Majeur;binaire;;331 666 771 75;;sol2/bc;;;;;;;;
1707-06_142;1707.06.01;142-143;ÊTRE AIMÉ DE SYLVIE;Être aimé de Sylvie;"air gravé inséré entre les pages 142 et 143 « L'Air qui suit est de Mr Charles, dont vous en avez souvent vû qui ont eu l'avantage de vous plaire ; Les paroles sont de Mr Maugé. AIR NOUVEAU. Estre aimé de Sylvie, La voir à tout moment, Des plaisirs de la vie C'est-là le plus charmant. »";f379276f-4bf5-483c-b1c1-a58c3c723391;Charles, M. (fl. 1706-1710);;AIR NOUVEAU;;madrigal ;air;1270d20c-f64a-4759-b00d-1422c1c1dfac;MAUGÉ, Mr;;;Ut Majeur, 3/8, 12 mesures, forme binaire.;"Ut Majeur ;";binaire;;345 56 55 345 4;;ut3/bc;;;"RASB-1707-04 p. 78 (11 strophes supplémentaires. Musique anonyme) ;";;;;;
1678-03_133;1678.03.11;1678-03 133-134;QUESTA BELLA D'AMOR NEMICA È MIA;Questa bella d'amor nemica è mia;air imprimé inséré entre les pages 132 et 133 « Apres plusieurs Airs François, je vous en envoye un Italien. Mr Menage connu par toute la terre à cause de sa profonde érudition, a fait les Paroles. Un de ses Amis les a envoyées à Rome, & elles y ont paru si belles à un des plus fameux Maistres de Musique d´Italie, qu´il a pris plaisir à les noter. Lisez & chantez. AIR ITALIEN. Questa bella d'amor nemica é mia La mia tenera Jole. Alle prime parole Che d'amor muovo, torce siera il guado, E lieve piu che Pardo, (1) Nè udir i miei mesti lamenti, Ne veder vuole i gravi miei tormenti. Dura piu che le serve, Cruda piu che le belve, Del tuo fido pastore S'udir non vuoi l'amore, Ahi dolorosa forte, Vedi, vedi la morte. » (1) La source musicale propose après ce vers « Fugge ».;4aded38f-fdf8-46bd-8520-c0c9894424a5;non identifié;"ROME ; DIJON";AIR ITALIEN;"traduction ; air italien ;";;air italien;"d6f1d4d2-54a3-4c0f-8d6a-45d64d5334c2 ; 4aded38f-fdf8-46bd-8520-c0c9894424a5 [trad.] ";"MÉNAGE, Gilles ; non identifié [trad.]";Une traduction française de cet air est publiée par le Mercure galant en mai suivant (cf. 1678-05_212).;1678-05_109;la mineur, ¢ puis 3, 40 mesures, forme continue;la mineur;continue;;5 555 171 712 552 340 000;;ut1/bc;;;;;;;;
1699-05_280;1699.05.02;280-281;Ne craignez rien dans l'amoureux empire;Ne craignez rien dans l'amoureux empire;air gravé inséré entre les pages 280 et 281 « Je croy que vous serez contente de l'Air qu'un habile Musicien a fait sur ces Vers que je vous envoye notez. AIR NOUVEAU. NE craignez rien dans l'amoureux Empire. Le mal n'est pas, Iris, si grand (1) que l'on le fait, Et lorsqu'on aime, & que le coeur soupire, Son propre mal souvent le satisfait. » (1) « Le mal, Iris, n'est pas si grand » dans la source musicale.;4aded38f-fdf8-46bd-8520-c0c9894424a5;non identifié;;;;madrigal;air;ee9aa528-1085-40f5-9edc-ec98869fdaa0;Mollier, Louis de (1615 ca-1688);Poème attribué à Louis Mollier dans le Recueil des plus beaux vers (Paris, Charles de Sercy, 1661).;;Fa Majeur, 3, 26 mesures, forme binaire.;Fa Majeur;binaire;;156 345 643 21;;sol2/bc;;;Recueil des plus beaux vers (Paris, Charles de Sercy, 1661). Le poème du MG y forme la 2e strophe d'un poème attribué à Louis de Mollier.;;;;;
1687-07_074;1687.07.01;74-75;ait TOUT EST CHARMANT DANS CE BOCAGE;Tout est charmant dans ce bocage;air gravé inséré entre les pages 74 et 75 « Je vous envoye encore un Printemps d'un excellent Maistre. AIR NOUVEAU. Tout est charmant dans ce bocage, Les Oiseaux amoureux par leur tendre ramage De la saison nouvelle annoncent le retour. Mais helas ! accablé de rigueurs inhumaines, Je ne sens point comme eux les plaisirs de l'amour, Et je n'en ressens que les peines. »;4aded38f-fdf8-46bd-8520-c0c9894424a5;non identifié;;AIR NOUVEAU;"petit opéra ; réutilisation d'un poème ; printemps";"élégie ; poésie de saison";air;39d1a238-6f5d-4d31-9dc9-6a3fe5c547f8;MOREL, Antoine ;;;Fa Majeur, 3/2, 23 mesures, forme binaire;Fa Majeur;binaire;;346 5 112 3366;;ut1;;;;;;;;
